time_sec,x,y,theta,v,w
3.81,-4.7682111585263764e-12,-4.79362661051501e-26,2.010764830396994e-14,-4.674759076001467e-12,1.9695166043842825e-14
3.8200000000000003,-4.814958749468503e-12,-4.8880858597933485e-26,2.0304808198988123e-14,-4.674759094212675e-12,1.9715989501818428e-14
3.83,-4.861706388860914e-12,-4.9834665835871955e-26,2.0501840022624693e-14,-4.674763939241134e-12,1.9703182363656953e-14
3.84,-4.908454018546328e-12,-5.079768615058354e-26,2.0698978978988422e-14,-4.674762968541375e-12,1.9713895636372916e-14
3.85,-4.955201660028793e-12,-5.176991904663242e-26,2.0895970636322644e-14,-4.674764148246513e-12,1.9699165733422184e-14
3.8600000000000003,-5.0019492979812485e-12,-5.275136154914706e-26,2.109299588698355e-14,-4.6747637952455326e-12,1.970252506609069e-14
3.87,-5.048697010474721e-12,-5.374201707323804e-26,2.1290062930250078e-14,-4.674771249347227e-12,1.9706704326652747e-14
3.88,-5.0954446936820295e-12,-5.47418869599989e-26,2.1487239308529423e-14,-4.674768320730811e-12,1.9717637827934492e-14
3.89,-5.142192415539451e-12,-5.575097670005287e-26,2.1684479010991897e-14,-4.674772185742151e-12,1.9723970246247357e-14
3.9,-5.188940106507698e-12,-5.676927898619748e-26,2.1881406920626516e-14,-4.6747690968247494e-12,1.9692790963461956e-14
3.91,-5.235687828968631e-12,-5.779678268420649e-26,2.207811212835863e-14,-4.674772246093247e-12,1.9670520773211332e-14
3.92,-5.282435541930089e-12,-5.883348630345794e-26,2.2275014627004806e-14,-4.674771296145797e-12,1.9690249864617668e-14
3.93,-5.329183221918672e-12,-5.987939443292339e-26,2.2471938792753785e-14,-4.6747679988582916e-12,1.9692416574897856e-14
3.939,-5.375930913001269e-12,-6.093451130354036e-26,2.266898030644727e-14,-5.194187898066327e-12,2.1893501521498236e-14
3.95,-5.422678622587301e-12,-6.19988439168499e-26,2.286619661385976e-14,-4.249791780548334e-12,1.792875521931742e-14
3.96,-5.469426362027009e-12,-6.307239826967817e-26,2.306348322500685e-14,-4.67477394397079e-12,1.9728661114708848e-14
3.97,-5.5161740763945415e-12,-6.415517378425471e-26,2.3260728738115353e-14,-4.674771436753266e-12,1.9724551310850385e-14
3.98,-5.5629217779634066e-12,-6.52471750320628e-26,2.3458199087649374e-14,-4.674770156886483e-12,1.97470349534021e-14
3.99,-5.60966951798545e-12,-6.634840777733731e-26,2.3655639774089573e-14,-4.674774002204305e-12,1.9744068644019908e-14
4.0,-5.656417269342911e-12,-6.745886477762654e-26,2.38528271807379e-14,-4.674775135746147e-12,1.9718740664832726e-14
4.01,-5.703165025088004e-12,-6.857853462112127e-26,2.404978656611681e-14,-4.6747755745092136e-12,1.9695938537891125e-14
4.019,-5.74991278112744e-12,-6.97074153880598e-26,2.4246895994912012e-14,-5.194195115492899e-12,2.1901047643911224e-14
4.03,-5.796660583245468e-12,-7.084550407550824e-26,2.4443679214378563e-14,-4.249800192548038e-12,1.788938358786822e-14
4.04,-5.843408423005641e-12,-7.199279806568979e-26,2.464068472917179e-14,-4.674783976017259e-12,1.970055147932258e-14
4.05,-5.890156235442648e-12,-7.31493017901278e-26,2.4837725666882862e-14,-4.6747812437007296e-12,1.970409377110739e-14
4.06,-5.9369040251071746e-12,-7.431501667288176e-26,2.5034787712654996e-14,-4.674778966452651e-12,1.9706204577213362e-14
4.07,-5.983651827286613e-12,-7.548994675328466e-26,2.5231963904587094e-14,-4.6747802179438304e-12,1.9717619193209753e-14
4.08,-6.03039963676324e-12,-7.667408950769634e-26,2.5428923425491273e-14,-4.6747809476627145e-12,1.969595209041798e-14
4.09,-6.077147447152545e-12,-7.786744353702411e-26,2.5626046610101546e-14,-4.6747810389305146e-12,1.971231846102725e-14
4.1,-6.12389527238822e-12,-7.907001830340366e-26,2.5823395596754883e-14,-4.674782523567513e-12,1.973489866533374e-14
4.11,-6.1706431110091336e-12,-8.028182093553023e-26,2.60208251362415e-14,-4.674783862091328e-12,1.9742953948661624e-14
4.119,-6.217390957257579e-12,-8.150284592568249e-26,2.621794469555073e-14,-5.194205138716108e-12,2.1902173256581336e-14
4.131,-6.264138817863232e-12,-8.273308608814263e-26,2.6415059104899658e-14,-3.895655050471118e-12,1.6426200779077236e-14
4.14,-6.3108867057496994e-12,-8.3972540784861e-26,2.6612136465027464e-14,-5.194209765163009e-12,2.1897484458645095e-14
4.15,-6.357634595493286e-12,-8.522121336977049e-26,2.6809422957589952e-14,-4.674788974358681e-12,1.9728649256248798e-14
4.16,-6.404382502404113e-12,-8.647909957520019e-26,2.7006300079129047e-14,-4.674790691082707e-12,1.9687712153909512e-14
4.17,-6.451130392596628e-12,-8.77461933362968e-26,2.7203366105956023e-14,-4.674789019251427e-12,1.9706602682697562e-14
4.18,-6.497878297819742e-12,-8.90225006969222e-26,2.7400464997661362e-14,-4.674790522311392e-12,1.9709889170533918e-14
